"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7878","Verify ""Use Cases"" Search Functionality on the ""Solutions"" Page","Telnyx test","2026-08-20","passed","2026-08-20","","","",""
"","3297","Verify Dynamic Price Updates in ""Price Your Workload"" Section","Telnyx test","2026-08-20","passed","2026-08-20","","","",""
"","9967","Verify ""Subscribe to Automated Emails"" on the Release Notes Page","Telnyx test","2026-08-20","passed","2026-08-20","","","",""
"","4429","Verify product search functionality in the shop","Telnyx test","2026-08-20","passed","2026-08-20","","","",""
"","14872","Verify Calculator Functionality on the IoT Data Plans Page","Telnyx test","2026-08-20","passed","2026-08-20","","","",""
"","15642","Verify Dynamic Price Updates for Voice AI Options","Telnyx test","2026-08-20","passed","2026-08-20","","","",""
"","7570","Verify currency switching functionality on the Pricing page","Telnyx test","2026-08-20","passed","2026-08-20","","","",""
"","11002","Verify all navigation paths to the ""Talk to an expert"" page from the Communication page","Telnyx test","2026-08-20","passed","2026-08-20","","","",""
"","10008","Verify the built-in AI chat agent responsiveness","Telnyx test","2026-08-20","passed","2026-08-20","","","",""
"","6121","Verify Negative Scenario: Security Verification Blocks Automated Sign-In Link","Telnyx test","2026-08-20","passed","2026-08-20","","","",""
"","8618","Verify search functionality for Microsoft Teams integration","Telnyx test","2026-08-20","passed","2026-08-20","","","",""
"","7545","Verify navigation to the Sign-Up page","Telnyx test","2026-08-20","passed","2026-08-20","","","",""
"","7167","Change Language to Spanish","Telnyx test","2026-08-20","passed","2026-08-20","","","",""
"","6375","Resend Verification Email","Telnyx test","2026-08-20","broken","2026-08-20","","","",""
"","7874","Verify the email newsletter subscription functionality","Telnyx test","2026-08-20","passed","2026-08-20","","","",""
"","38784","Verify Navigation and Content of the Customer Stories Page","Telnyx test","2026-08-20","failed","2026-08-20","","","",""
"","11964","Verify ""Become a Partner Today"" CTA Links on the Partners Page","Telnyx test","2026-08-20","passed","2026-08-20","","","",""
"","8272","Verify Currency Switcher on the Shop Page","Telnyx test","2026-08-20","passed","2026-08-20","","","",""
"","18794","Verify the ""Sign Up"" navigation from the ""Our Network"" page","Telnyx test","2026-08-20","broken","2026-08-20","","","",""
"","18961","Verify Search and Filter Functionality on the ""Open Source Builds"" Page","Telnyx test","2026-08-20","passed","2026-08-20","","","",""
